2026-07-22 18:18:12 | INFO     | dns_labeller | Loading dataset: C:\Users\choud\OneDrive\Desktop\projects\project\parsing logs\normalized_dns_dataset.csv
2026-07-22 18:18:12 | INFO     | dns_labeller | Processing 142 DNS records...
2026-07-22 18:18:13 | INFO     | dns_labeller | Labeling completed successfully.
2026-07-22 18:24:43 | WARNING  | dns_labeller | Intel file missing: malicious_domains.txt
2026-07-22 18:24:43 | WARNING  | dns_labeller | Intel file missing: phishing_domains.txt
2026-07-22 18:24:43 | WARNING  | dns_labeller | Intel file missing: botnet_domains.txt
2026-07-22 18:24:43 | WARNING  | dns_labeller | Intel file missing: cryptomining_domains.txt
2026-07-22 18:24:43 | WARNING  | dns_labeller | Intel file missing: suspicious_tlds.txt
2026-07-22 18:24:43 | INFO     | dns_labeller | Loaded 0 threat intelligence entries from local files.
2026-07-22 18:24:43 | INFO     | dns_labeller | Threat Intelligence module initialized (offline mode).
2026-07-22 18:24:43 | INFO     | dns_labeller | DNS Dataset Labeller initialized (training data only - offline).
2026-07-22 18:24:43 | INFO     | dns_labeller | Loading dataset: C:\Users\choud\OneDrive\Desktop\projects\project\parsing logs\normalized_dns_dataset.csv
2026-07-22 18:24:43 | INFO     | dns_labeller | Processing 142 DNS records...
2026-07-22 18:24:44 | INFO     | dns_labeller | Labeling completed successfully.
2026-07-26 13:20:50 | WARNING  | dns_labeller | Intel file missing: malicious_domains.txt
2026-07-26 13:20:50 | WARNING  | dns_labeller | Intel file missing: phishing_domains.txt
2026-07-26 13:20:50 | WARNING  | dns_labeller | Intel file missing: botnet_domains.txt
2026-07-26 13:20:50 | WARNING  | dns_labeller | Intel file missing: cryptomining_domains.txt
2026-07-26 13:20:50 | WARNING  | dns_labeller | Intel file missing: suspicious_tlds.txt
2026-07-26 13:20:50 | INFO     | dns_labeller | Loaded 0 threat intelligence entries from local files.
2026-07-26 13:20:50 | INFO     | dns_labeller | Threat Intelligence module initialized (offline mode).
2026-07-26 13:20:50 | INFO     | dns_labeller | DNS Dataset Labeller initialized (training data only - offline).
2026-07-26 13:20:50 | INFO     | dns_labeller | Loading dataset: C:\Users\choud\OneDrive\Desktop\projects\project\parsing logs\normalized_dns_dataset.csv
2026-07-26 13:20:50 | INFO     | dns_labeller | Processing 642 DNS records...
2026-07-26 13:20:52 | INFO     | dns_labeller | Labeling completed successfully.
2026-07-26 13:29:38 | WARNING  | dns_labeller | Intel file missing: malicious_domains.txt
2026-07-26 13:29:38 | WARNING  | dns_labeller | Intel file missing: phishing_domains.txt
2026-07-26 13:29:38 | WARNING  | dns_labeller | Intel file missing: botnet_domains.txt
2026-07-26 13:29:38 | WARNING  | dns_labeller | Intel file missing: cryptomining_domains.txt
2026-07-26 13:29:38 | WARNING  | dns_labeller | Intel file missing: suspicious_tlds.txt
2026-07-26 13:29:38 | INFO     | dns_labeller | Loaded 0 threat intelligence entries from local files.
2026-07-26 13:29:38 | INFO     | dns_labeller | Threat Intelligence module initialized (offline mode).
2026-07-26 13:29:38 | INFO     | dns_labeller | DNS Dataset Labeller initialized (training data only - offline).
2026-07-26 13:29:38 | INFO     | dns_labeller | Loading dataset: C:\Users\choud\OneDrive\Desktop\projects\project\parsing logs\normalized_dns_dataset.csv
2026-07-26 13:29:38 | INFO     | dns_labeller | Processing 142 DNS records...
2026-07-26 13:29:39 | INFO     | dns_labeller | Labeling completed successfully.
2026-07-26 13:49:14 | WARNING  | dns_labeller | Intel file missing: malicious_domains.txt
2026-07-26 13:49:14 | WARNING  | dns_labeller | Intel file missing: phishing_domains.txt
2026-07-26 13:49:14 | WARNING  | dns_labeller | Intel file missing: botnet_domains.txt
2026-07-26 13:49:14 | WARNING  | dns_labeller | Intel file missing: cryptomining_domains.txt
2026-07-26 13:49:14 | WARNING  | dns_labeller | Intel file missing: suspicious_tlds.txt
2026-07-26 13:49:14 | INFO     | dns_labeller | Loaded 0 threat intelligence entries from local files.
2026-07-26 13:49:14 | INFO     | dns_labeller | Threat Intelligence module initialized (offline mode).
2026-07-26 13:49:14 | INFO     | dns_labeller | DNS Dataset Labeller initialized (training data only - offline).
2026-07-26 13:49:14 | INFO     | dns_labeller | Loading dataset: C:\Users\choud\OneDrive\Desktop\projects\project\parsing logs\normalized_dns_dataset.csv
2026-07-26 13:49:14 | INFO     | dns_labeller | Processing 500 DNS records...
2026-07-26 13:49:15 | INFO     | dns_labeller | Labeling completed successfully.
2026-07-28 09:37:30 | WARNING  | dns_labeller | Intel file missing: malicious_domains.txt
2026-07-28 09:37:30 | WARNING  | dns_labeller | Intel file missing: phishing_domains.txt
2026-07-28 09:37:30 | WARNING  | dns_labeller | Intel file missing: botnet_domains.txt
2026-07-28 09:37:30 | WARNING  | dns_labeller | Intel file missing: cryptomining_domains.txt
2026-07-28 09:37:30 | WARNING  | dns_labeller | Intel file missing: suspicious_tlds.txt
2026-07-28 09:37:30 | INFO     | dns_labeller | Loaded 0 threat intelligence entries from local files.
2026-07-28 09:37:30 | INFO     | dns_labeller | Threat Intelligence module initialized (offline mode).
2026-07-28 09:37:30 | INFO     | dns_labeller | DNS Dataset Labeller initialized (training data only - offline).
2026-07-28 09:37:30 | INFO     | dns_labeller | Loading dataset: C:\Users\choud\OneDrive\Desktop\projects\project\parsing logs\normalized_dns_dataset.csv
2026-07-28 09:37:30 | INFO     | dns_labeller | Processing 500 DNS records...
2026-07-28 09:37:32 | INFO     | dns_labeller | Labeling completed successfully.
2026-07-29 08:52:24 | WARNING  | dns_labeller | Intel file missing: malicious_domains.txt
2026-07-29 08:52:24 | WARNING  | dns_labeller | Intel file missing: phishing_domains.txt
2026-07-29 08:52:24 | WARNING  | dns_labeller | Intel file missing: botnet_domains.txt
2026-07-29 08:52:24 | WARNING  | dns_labeller | Intel file missing: cryptomining_domains.txt
2026-07-29 08:52:24 | WARNING  | dns_labeller | Intel file missing: suspicious_tlds.txt
2026-07-29 08:52:24 | INFO     | dns_labeller | Loaded 0 threat intelligence entries from local files.
2026-07-29 08:52:24 | INFO     | dns_labeller | Threat Intelligence module initialized (offline mode).
2026-07-29 08:52:24 | INFO     | dns_labeller | DNS Dataset Labeller initialized (training data only - offline).
2026-07-29 08:52:24 | INFO     | dns_labeller | Loading dataset: C:\Users\choud\OneDrive\Desktop\projects\project\parsing logs\normalized_dns_dataset.csv
2026-07-29 08:52:24 | INFO     | dns_labeller | Processing 1,000 DNS records...
2026-07-29 08:52:27 | INFO     | dns_labeller | Labeling completed successfully.
2026-08-01 18:48:28 | WARNING  | dns_labeller | Intel file missing: malicious_domains.txt
2026-08-01 18:48:28 | WARNING  | dns_labeller | Intel file missing: phishing_domains.txt
2026-08-01 18:48:28 | WARNING  | dns_labeller | Intel file missing: botnet_domains.txt
2026-08-01 18:48:28 | WARNING  | dns_labeller | Intel file missing: cryptomining_domains.txt
2026-08-01 18:48:28 | WARNING  | dns_labeller | Intel file missing: suspicious_tlds.txt
2026-08-01 18:48:28 | INFO     | dns_labeller | Loaded 0 threat intelligence entries from local files.
2026-08-01 18:48:28 | INFO     | dns_labeller | Threat Intelligence module initialized (offline mode).
2026-08-01 18:48:28 | INFO     | dns_labeller | DNS Dataset Labeller initialized (training data only - offline).
2026-08-01 18:48:28 | INFO     | dns_labeller | Loading dataset: C:\Users\choud\OneDrive\Desktop\projects\project\parsing logs\normalized_dns_dataset.csv
2026-08-01 18:48:28 | INFO     | dns_labeller | Processing 1,000 DNS records...
2026-08-01 18:48:31 | INFO     | dns_labeller | Labeling completed successfully.
2026-08-01 19:09:30 | WARNING  | dns_labeller | Intel file missing: malicious_domains.txt
2026-08-01 19:09:30 | WARNING  | dns_labeller | Intel file missing: phishing_domains.txt
2026-08-01 19:09:30 | WARNING  | dns_labeller | Intel file missing: botnet_domains.txt
2026-08-01 19:09:30 | WARNING  | dns_labeller | Intel file missing: cryptomining_domains.txt
2026-08-01 19:09:30 | WARNING  | dns_labeller | Intel file missing: suspicious_tlds.txt
